algoritmo,caso,tamanho,comparacoes,trocas
selection_sort,melhor,5000,12497500.0,0.0
selection_sort,melhor,10000,49995000.0,0.0
selection_sort,melhor,20000,199990000.0,0.0
selection_sort,melhor,50000,1249975000.0,0.0
selection_sort,pior,1,0.0,0.0
selection_sort,pior,10,45.0,5.0
selection_sort,pior,50,1225.0,25.0
selection_sort,pior,100,4950.0,50.0
selection_sort,pior,500,124750.0,250.0
selection_sort,pior,1000,499500.0,500.0
selection_sort,pior,5000,12497500.0,2500.0
selection_sort,pior,10000,49995000.0,5000.0
selection_sort,pior,20000,199990000.0,10000.0
selection_sort,pior,50000,1249975000.0,25000.0
